"ctuid","area_km"
"x",0
5350592.01,3.92
5350592.02,3.73
5350593.00,277.83
5350600.01,4.95
5350600.02,5.35
5350601.00,3.21
5350602.00,3.97
5350603.00,1.16
5350604.00,0.86
5350605.00,1.51
5350606.00,3.39
5350607.00,3.24
5350608.00,1.41
5350609.00,2.15
5350610.02,3.23
5350610.03,1.16
5350610.04,0.99
5350611.00,4.92
5350612.01,8.02
5350612.03,4.15
5350612.05,3.27
5350612.08,1.66
5350612.1,4.20
5350612.11,2.44
5350612.12,1.80
5350612.13,1.21
5350612.14,2.12
5350612.15,4.06
5350612.18,1.58
5350612.19,1.01
5350612.2,1.05
5350612.21,1.36
5350612.22,1.44
5350612.23,1.34
5350612.24,2.61
5350612.25,1.59
5350612.26,1.14
5350612.27,1.57
5350613.01,1.90
5350613.03,1.75
5350613.04,1.33
5350614.01,1.59
5350614.02,3.07
5350615.00,40.14
5350620.01,2.51
5350620.05,1.04
5350620.06,1.13
5350620.07,0.97
5350620.08,1.38
5350620.09,0.94
5350620.1,2.50
5350620.11,4.55
5350620.12,8.47
5350620.13,126.33
5350621.00,2.54
5350622.00,2.63
5350623.00,1.49
5350624.00,1.72
5350625.00,15.13
5350626.00,189.88
5350630.00,110.26
5350631.02,2.40
5350631.03,1.65
5350631.04,1.61
5350632.00,2.05
5350633.00,3.67
5350634.01,2.98
5350634.02,1.44
5350635.00,2.90
5350636.00,1.56
5350637.00,128.97
5350638.00,6.43
5350639.00,10.35
5350800.01,1.07
5350800.02,10.51
5350801.01,1.45
5350801.02,3.85
5350802.01,2.18
5350802.02,2.26
5350803.03,2.96
5350803.04,2.79
5350803.05,2.46
5350803.06,1.56
5350804.01,3.06
5350804.05,3.06
5350804.06,0.82
5350804.07,0.91
5350804.08,2.49
5350804.1,1.50
5350804.11,1.69
5350804.12,7.53
5350804.13,1.92
5350805.04,7.00
5350805.06,1.48
5350805.09,1.12
5350805.1,1.18
5350805.12,12.69
5350805.14,7.78
5350805.15,8.33
5350805.16,2.06
5350805.17,1.25
5350805.18,0.76
5350805.19,0.30
5350805.2,1.72
5350805.21,2.30
5350806.00,62.46
5350807.00,119.47
5350810.01,0.61
5350810.02,0.78
5350810.03,1.07
5350810.04,2.54
5350810.05,3.34
5350811.00,3.56
5350812.00,1.55
5350820.03,1.16
5350820.04,0.47
5350820.05,1.01
5350820.06,1.63
5350820.07,1.33
5350830.00,186.55
5350831.01,12.10
5350831.02,17.59
5350832.00,204.71
5370000.00,1371.89
5370001.01,5.52
5370001.02,1.29
5370001.04,1.70
5370001.05,1.55
5370001.06,1.48
5370001.07,0.76
5370001.08,1.64
5370001.09,1.97
5370002.01,1.48
5370002.03,0.77
5370002.04,0.98
5370002.05,1.96
5370002.06,2.67
5370003.01,1.22
5370003.02,0.87
5370003.03,0.73
5370003.04,1.74
5370004.01,0.98
5370004.02,1.00
5370005.01,1.85
5370005.02,0.95
5370005.03,0.94
5370006.00,2.20
5370007.00,0.86
5370008.00,0.80
5370009.00,0.86
5370010.00,0.91
5370011.00,0.85
5370012.00,0.43
5370013.00,1.55
5370014.00,1.18
5370015.00,0.62
5370016.00,0.46
5370017.00,2.64
5370018.00,0.38
5370019.00,1.20
5370020.00,1.09
5370021.00,1.05
5370022.00,0.92
5370023.00,0.83
5370024.00,0.80
5370025.00,2.26
5370026.01,0.95
5370026.02,0.62
5370026.03,0.97
5370026.04,1.00
5370026.05,2.74
5370026.06,1.17
5370027.00,0.55
5370028.00,0.72
5370029.00,1.01
5370030.00,1.05
5370031.00,0.96
5370032.00,0.74
5370033.00,0.70
5370034.00,0.92
5370035.00,0.44
5370036.00,0.36
