"","ctuid","bg_mean","bg_median","bg_scale"
"522","5350374.02",3,3,-2.77058302184263
"523","5350374.03",4,4,-3.80220812551446
"524","5350375.01",4,4,-1.27490726736671
"525","5350375.02",2,2,-0.119006164528629
"526","5350375.03",4,4,-2.6783631010244
"527","5350375.04",3,3,-1.16612032342527
"528","5350375.05",3,3,-1.53476680415468
"529","5350376.01",3,2,-3.32189299433706
"530","5350376.02",5,4,-0.185627742911278
"531","5350376.04",3,2,-1.59157067118585
"532","5350376.05",4,4,-1.93914828997858
"533","5350376.06",3,3,-12.8075394381408
"534","5350376.08",4,4,0.348524900858521
"535","5350376.09",3,2,-1.52557796024506
"536","5350376.11",1,1,-1.98733476952402
"537","5350376.12",0,0,0.0711048020305516
"538","5350376.13",4,4,-1.19666863111819
"539","5350376.14",3,3,-0.383407877056939
"540","5350376.15",2,2,0.580370176386658
"541","5350376.16",3,3,-1.30191796757524
"542","5350377.01",4,4,-2.68780803577569
"543","5350377.02",3,3,-1.27101622484875
"544","5350377.03",4,4,-2.92674870692874
"545","5350377.04",3,3,-0.411164962660896
"546","5350377.06",5,5,-0.376479349648475
"547","5350377.07",5,4,0.194219743764197
"548","5350378.02",3,3,-1.8105106391204
"549","5350378.03",3,3,4.02554308181289
"550","5350378.04",5,5,-0.789201544254086
"551","5350378.05",4,4,-1.88205121444633
"552","5350378.06",3,3,2.4982850230129
"553","5350378.07",2,2,-2.29756694809139
"554","5350378.08",2,2,-5.16003407050458
"555","5350378.11",5,5,-1.00298319253982
"556","5350378.12",4,4,-1.83810379396637
"557","5350378.14",3,3,-0.0409738636683485
"558","5350378.16",3,3,-0.989136832040493
"559","5350378.17",4,4,-2.1051229482465
"560","5350378.18",4,4,-2.75181794721576
"561","5350378.19",2,2,-1.17273166600946
"562","5350378.20",5,5,0.145965645266381
"563","5350378.21",4,4,0.941600242786463
"564","5350378.22",4,4,1.35882146234308
"565","5350378.23",3,3,-3.48692848013045
"566","5350378.24",3,3,-4.85352044415528
"567","5350378.25",4,3,4.74662564109945
"568","5350378.26",4,4,1.90267841222028
"569","5350378.27",3,3,-2.7644247280465
"570","5350378.28",4,4,0.197045851416978
"571","5350400.02",4,2,-3.43722668975876
"572","5350400.03",3,2,-1.52410661649073
"573","5350400.04",2,2,-1.06600831120213
"574","5350400.06",3,3,-2.17935883638116
"575","5350400.07",2,2,-1.59970846994057
"576","5350400.08",5,5,-0.993276301446007
"577","5350400.11",3,3,0.223040680263756
"578","5350400.12",4,3,-1.81408444551136
"579","5350400.13",4,4,0.168024410410124
"580","5350400.14",4,4,0.369937289397833
"581","5350400.15",2,2,-0.968947148945709
"582","5350400.16",3,3,-1.96902889318083
"583","5350400.17",3,3,-0.0823431471290311
"584","5350400.18",3,3,-0.259863414390391
"585","5350400.19",4,4,-1.1247884979616
"586","5350400.20",3,3,-3.33732934308973
"587","5350400.21",2,2,-3.9748848591154
"588","5350400.22",3,3,-6.77446110505535
"589","5350400.23",4,4,-2.90032705737576
"590","5350401.04",4,3,-0.761273177362655
"591","5350401.05",3,3,-1.1204537982956
"592","5350401.06",3,2,-1.39986130640712
"593","5350401.07",2,2,-1.37805243588096
"594","5350401.08",3,3,-2.76400986208268
"595","5350401.09",2,2,-1.5764370826134
"596","5350401.10",4,4,-1.67631807368203
"597","5350401.11",3,3,2.58150215753584
"598","5350401.13",3,3,-1.5644739556504
"599","5350401.14",3,3,-1.60984684776486
"600","5350401.15",3,3,-1.01983601833597
"601","5350401.17",3,3,-1.62709986906916
"602","5350401.18",4,3,1.1308454479389
"603","5350401.19",3,3,-3.0802116107696
"604","5350401.20",4,4,1.3386801622085
"605","5350401.21",3,3,2.74338101310237
"606","5350401.22",3,3,1.12853495072868
"607","5350401.23",5,5,-2.3118509245544
"608","5350402.01",3,3,-0.133753450187983
"609","5350402.02",3,3,-1.27205482684565
"610","5350402.03",3,3,-1.42319126030702
"611","5350402.04",4,4,1.35137183595653
"612","5350402.05",4,4,-1.20657076125509
"613","5350402.06",4,4,-1.7983374963589
"614","5350402.07",3,3,0.907733817312508
"615","5350402.08",3,4,-1.25291716056505
"616","5350402.09",4,4,-1.40395164752265
"617","5350402.10",3,3,-2.73876465891648
"618","5350402.12",3,3,-4.68137691225818
"619","5350402.13",1,1,4.33370125767818
"620","5350403.01",2,1,-2.00331454412829
"621","5350403.04",4,3,1.46928810128516
"622","5350403.05",3,3,-2.2126869678543
"623","5350403.07",5,4,0.0333389208316264
"624","5350403.09",4,4,1.95860524707731
"625","5350403.10",4,4,3.04167307450147
"626","5350403.11",3,3,-1.36346450839515
"627","5350403.12",3,3,-2.23959630588412
"628","5350403.13",2,1,-3.76524207635488
"629","5350403.14",3,2,-4.75949473744339
"630","5350403.15",2,2,-0.888937857545529
"631","5350403.16",3,3,-1.03822616939281
"632","5350410.02",2,1,2.64892431848612
"633","5350410.03",4,4,2.24761163815983
"634","5350410.04",2,2,1.75342981590604
"635","5350410.05",1,1,2.60992450946542
"636","5350410.07",2,2,2.59838282313813
"637","5350410.09",2,2,-3.85205893792114
"638","5350410.10",4,4,2.39633873260641
"639","5350410.11",4,3,2.42817868739458
"640","5350410.12",3,3,-0.562647541905595
"641","5350410.13",1,1,3.10298055085788
"642","5350410.14",3,3,3.482144720746
"643","5350410.15",3,3,1.53644653789768
"644","5350411.01",1,1,1.85788066199784
"645","5350411.04",2,2,-1.09631696722091
"646","5350411.07",2,1,0.0133835322297352
"647","5350411.08",3,3,-0.690838052546976
"648","5350411.09",3,2,0.267261632656051
"649","5350411.12",2,2,-1.04695431292739
"650","5350411.15",4,3,-1.77190833137983
"651","5350411.16",1,1,-0.188846478468763
"652","5350411.17",4,3,-8.78295069865854
"653","5350411.18",2,1,-1.36002221688775
"654","5350411.19",3,2,-1.8390127719596
"655","5350411.21",4,4,-0.325302288149166
"656","5350411.22",2,2,-3.8313211856397
"657","5350411.23",2,2,-4.68532173258517
"658","5350411.24",3,3,-1.84094403038377
"659","5350411.25",3,2,-0.327050692292012
"660","5350411.26",3,3,-1.10475366967813
"661","5350411.27",3,3,-0.619588095994591
"662","5350411.28",1,1,4.18082110307541
"663","5350411.29",0,0,1.55415401619764
"664","5350411.30",2,2,3.48543214453567
"665","5350412.01",2,1,0.967320627589292
"666","5350412.02",3,3,0.150790712718469
"667","5350412.04",2,1,0.170185586267
"668","5350412.06",2,2,-0.243615694767275
"669","5350412.08",2,3,-0.894411026535051
"670","5350412.10",3,3,-1.18688935009778
"671","5350412.11",3,3,4.76850049634493
"672","5350412.12",4,3,-0.750861034281003
"673","5350412.13",3,3,0.771750699798535
"674","5350412.14",2,2,0.784950137018947
"675","5350412.15",2,2,1.43635797809384
"676","5350412.18",2,1,1.18822902622495
"677","5350412.19",5,4,-0.558571529050269
"678","5350412.20",4,4,-1.02191638645989
"679","5350412.21",4,4,0.842739162322162
"680","5350412.22",3,2,2.16014888852654
"681","5350412.24",4,4,0.912613842811406
"682","5350412.25",4,3,3.86126530430759
"683","5350412.26",3,3,0.773045932972509
"684","5350413.01",3,3,-1.38713264663284
"685","5350413.02",4,4,4.1103769036836
"686","5350420.03",3,3,-4.92623058601678
"687","5350420.05",3,3,1.34965401550906
"688","5350420.06",1,1,2.37883575032988
"689","5350420.08",2,2,-2.33517254569417
"690","5350420.09",2,2,-2.82871896014798
"691","5350420.10",3,3,-4.09346657784259
"692","5350420.11",2,2,0.86408333983338
"693","5350420.13",3,3,0.487797362881519
"694","5350420.14",2,2,0.362271181865104
"695","5350420.15",1,1,1.8847018026976
"696","5350421.01",3,3,0.66871556268517
"697","5350421.04",2,2,-2.66835439880002
"698","5350421.05",2,1,-0.954617159181621
"699","5350421.06",3,3,-3.16318259568962
"700","5350421.07",3,3,-1.66862916942547
"701","5350422.02",4,4,-3.71927309518652
"702","5350422.03",2,2,-0.741058366390979
"703","5350422.04",3,3,1.01595222841241
"704","5350422.05",3,3,0.696848729619643
"705","5350422.06",3,3,-4.5058618902117
"706","5350423.01",4,3,-2.16114558101304
"707","5350423.02",3,3,-5.2913831201689
"708","5350424.04",1,1,-1.2606906866647
"709","5350424.05",4,4,-3.43005122267966
"710","5350424.07",3,3,-3.86031018309813
"711","5350424.08",3,3,-1.74783695304743
"712","5350424.09",3,3,-2.24952555160916
"713","5350424.10",4,4,-4.67426279292094
"714","5350424.11",2,2,-1.61173986517825
"715","5350424.13",4,4,0.100918760575284
"716","5350424.14",4,3,-2.1338424368223
"717","5350424.15",3,3,-3.30920358484338
"718","5350424.16",4,4,-6.54953260088847
"719","5350430.03",4,4,-1.61697783339134
"720","5350430.05",4,3,-2.22601531023722
"721","5350430.06",4,4,-2.26677784425361
"722","5350430.07",2,3,-1.52561651517452
"723","5350430.08",3,3,-1.27379625675621
"724","5350431.01",4,4,2.39838678010845
"725","5350431.02",5,5,-0.935912199655057
"726","5350440.00",4,4,-2.17986801495958
"727","5350441.02",4,3,-3.50434107894027
"728","5350441.03",5,5,-0.59450483601679
"729","5350441.04",3,3,-2.09337560698827
"730","5350442.02",4,4,-2.87611880713861
"731","5350442.03",4,4,-1.22232984868174
"732","5350442.04",3,3,-2.31478964146411
"733","5350442.05",3,3,-0.639411758215864
"734","5350442.06",3,2,-2.75472967870335
"735","5350450.02",3,3,-2.38027863483102
"736","5350450.03",2,2,-2.38200610966133
"737","5350450.05",4,4,-1.78448008800368
"738","5350450.06",3,2,-3.09594150841338
"739","5350451.01",4,4,-2.3125638100102
"740","5350451.02",3,3,-0.649971420413723
"741","5350451.03",4,4,-2.48202446414671
"742","5350451.05",3,3,-3.43299991667679
"743","5350451.06",3,3,-4.66113556535014
"744","5350451.07",4,3,-3.61117266691229
"745","5350452.01",2,2,-1.16307082412351
"746","5350452.02",3,3,-3.66784106392919
"747","5350452.03",4,4,-3.42986978420532
"748","5350452.05",4,4,9.01167728305677
"749","5350452.06",4,4,-0.0856601919167415
"750","5350452.07",3,3,-1.52367756721767
"751","5350455.00",4,4,0.932476047669788
"752","5350456.01",4,4,-0.233726310123045
"753","5350456.02",4,4,-2.43985888049176
"754","5350456.03",2,2,2.12974948361936
"755","5350460.01",4,3,1.51661466832021
"756","5350460.02",3,2,-1.44343062414116
"757","5350461.01",4,4,-0.445475809116198
"758","5350461.02",2,2,-0.140856707089742
"759","5350470.00",2,2,-0.941786689516074
"760","5350471.00",3,3,1.30321268041997
"761","5350472.00",2,2,-0.896075941462528
"762","5350473.01",2,2,2.52486532357025
"763","5350473.02",4,3,-2.33642199170979
"764","5350473.03",5,5,-1.38481848604828
"765","5350474.00",3,3,0.266639606144404
"766","5350475.00",2,2,0.403151980223477
"767","5350476.01",3,3,1.76617918775318
"768","5350476.02",3,3,0.9982793152557
"769","5350500.01",2,2,0.742033548562368
"770","5350500.02",0,0,0.46655121208378
"771","5350501.01",5,4,4.11392461035053
"772","5350501.02",4,5,-0.970916590568555
"773","5350502.01",2,2,-1.96444807825949
"774","5350502.02",3,3,-2.32731739279532
"775","5350503.00",2,2,-2.25566835652498
"776","5350504.00",4,4,-1.50905711826979
"777","5350505.01",4,4,1.55991116611393
"778","5350505.02",4,4,-1.13041200480058
"779","5350506.00",3,3,0.253893752236122
"780","5350507.00",3,3,0.570532843571747
"781","5350508.00",3,3,0.720286140968786
"782","5350509.01",0,0,2.68807528809969
"783","5350509.02",1,1,2.40881435480158
"784","5350510.00",3,3,-0.815756045832789
"785","5350511.01",1,1,-0.928324025104246
"786","5350511.02",1,1,0.0860298174100447
"787","5350512.00",1,1,-0.903510220008325
"788","5350513.01",2,2,0.740863068966814
"789","5350513.02",1,1,-0.120058122117041
"790","5350513.03",2,2,-0.389627433200867
"791","5350513.04",0,0,0.643083530600737
"792","5350514.01",3,3,3.91350143571732
"793","5350514.02",4,4,-0.528629366973982
"794","5350515.01",3,2,-0.046958397731867
"795","5350515.02",3,2,-0.252469826972952
"796","5350516.01",4,4,0.191079847049464
"797","5350516.02",5,5,-0.802429698308512
"798","5350516.03",5,5,-0.64554773945756
"799","5350516.04",5,5,-0.829917019020802
"800","5350516.05",3,4,-1.90225926575363
"801","5350516.06",3,4,-2.18927617815092
"802","5350516.08",3,3,0.0620866628057275
"803","5350516.09",5,5,-1.8129235034959
"804","5350516.11",4,4,-1.63613422535597
"805","5350516.16",2,2,1.53166757358468
"806","5350516.17",5,5,-2.20778628854939
"807","5350516.18",5,4,-0.807905062709225
"808","5350516.20",3,3,-0.178490994796384
"809","5350516.21",4,4,-0.112994259766257
"810","5350516.22",5,5,-0.523385472606814
"811","5350516.23",5,4,-0.320952715814137
"812","5350516.24",3,3,1.61279394569884
"813","5350516.25",4,4,-0.385556506043825
"814","5350516.26",3,3,-0.0595697303966969
"815","5350516.28",5,5,-1.19562083753486
"816","5350516.29",5,5,-2.48434040670553
"817","5350516.30",4,3,-1.70766659241469
"818","5350516.31",3,2,2.10243782103027
"819","5350516.32",2,2,-0.0126501615589228
"820","5350516.37",4,4,-3.51921659986106
"821","5350516.38",2,2,2.96508217186322
"822","5350516.39",4,4,1.34241334946524
"823","5350516.40",4,4,-0.161325228867296
"824","5350516.41",3,2,-2.44521567855097
"825","5350516.42",4,3,-1.60202984603718
"826","5350516.43",2,2,-2.25252249134647
"827","5350516.44",2,2,-1.65040453703218
"828","5350516.46",3,2,0.727560878167619
"829","5350516.47",4,3,0.59981343323123
"830","5350516.48",4,3,-0.359790376764206
"831","5350516.49",2,2,-0.760972590537775
"832","5350517.00",3,3,-0.674170940754684
"833","5350518.00",3,3,0.929554731072876
"834","5350519.00",3,2,-2.13289171517653
"835","5350520.01",2,2,0.661218207496844
"836","5350520.02",2,2,0.51232997096247
"837","5350520.05",2,2,0.988389862492512
"838","5350520.07",3,3,-4.28729251421977
"839","5350520.08",1,1,0.587474682311362
"840","5350520.09",3,3,-0.116982731003591
"841","5350520.10",3,3,0.422048000014191
"842","5350521.01",1,1,-0.396843310470762
"843","5350521.02",2,1,0.12867145478173
"844","5350521.03",2,2,0.86887553678989
"845","5350521.04",2,2,0.539410602363319
"846","5350521.05",2,2,-1.54123607034977
"847","5350521.06",1,1,0.51086434844207
"848","5350522.00",2,1,0.788254397709171
"849","5350523.00",2,2,-0.0287059131670442
"850","5350524.01",1,1,1.11866223909844
"851","5350524.02",2,2,0.123022231683864
"852","5350525.01",4,4,-0.95079741294118
"853","5350525.02",4,4,-1.42767825450324
"854","5350526.01",1,1,1.5090034522844
